Trade Date,MASI,DSI,FSI 
2018-07-24,31481.46,20471.98,8485.54
2018-07-23,31481.46,20471.98,8485.54
2018-07-20,31942.84,20412.09,8980.99
2018-07-19,31942.84,20412.09,8980.99
2018-07-18,31942.84,20412.09,8980.99
2018-07-17,31942.84,20412.09,8980.99
2018-07-16,31034.58,20304.82,8237.82
2018-07-13,31034.58,20304.82,8237.82
2018-07-12,31034.58,20304.82,8237.82
2018-07-11,31034.58,20304.82,8237.82
2018-07-10,31034.58,20304.82,8237.82
2018-07-09,30808.06,20098.30,8237.82
2018-07-05,30808.06,20098.30,8237.82
2018-07-04,30736.95,20033.47,8237.82
2018-07-03,30736.95,20033.47,8237.82
2018-07-02,30736.95,20033.47,8237.82
2018-06-29,30736.95,20033.47,8237.82
2018-06-28,30736.95,20033.47,8237.82
2018-06-27,30736.95,20033.47,8237.82
2018-06-26,30736.95,20033.47,8237.82
2018-06-25,30739.20,20035.43,8237.82
2018-06-21,30739.20,20035.43,8237.82
2018-06-20,30739.20,20035.43,8237.82
2018-06-19,30739.20,20035.43,8237.82
2018-06-18,30739.20,20035.43,8237.82
2018-06-14,30739.20,20035.43,8237.82
2018-06-13,30780.28,20072.85,8237.82
2018-06-12,30774.54,20067.62,8237.82
2018-06-11,30533.93,19848.40,8237.82
2018-06-08,30533.93,19848.40,8237.82
2018-06-07,30533.93,19848.40,8237.82
2018-06-06,30239.79,19579.93,8238.32
2018-06-05,30233.84,19574.99,8237.82
2018-06-04,30233.84,19574.99,8237.82
2018-06-01,30075.17,19430.42,8237.82
2018-05-31,30043.03,19436.22,8201.57
2018-05-30,29421.63,19043.53,8022.30
2018-05-29,29420.53,19043.53,8021.27
2018-05-28,29109.35,19033.84,7738.28
2018-05-25,29109.35,19033.84,7738.28
2018-05-24,29044.77,18975.00,7738.28
2018-05-23,29074.63,19002.21,7738.28
2018-05-22,28819.22,18779.59,7727.85
2018-05-21,28281.84,18760.42,7241.68
2018-05-18,28280.28,18760.42,7240.21
2018-05-17,27833.14,18737.45,6842.94
2018-05-16,27780.39,18737.45,6793.28
2018-05-15,27780.39,18737.45,6793.28
2018-05-11,27716.55,18726.86,6744.11
2018-05-10,27715.26,18725.68,6744.11
2018-05-09,27588.76,18610.43,6744.11
2018-05-08,27568.89,18592.32,6744.11
2018-05-07,27568.89,18592.32,6744.11
2018-05-04,27092.17,18158.46,6743.62
2018-05-03,27092.17,18158.46,6743.62
2018-05-02,27092.17,18158.46,6743.62
2018-04-30,27092.17,18158.46,6743.62
2018-04-27,27092.17,18158.46,6743.62
2018-04-26,27092.17,18158.46,6743.62
2018-04-25,27039.74,18142.48,6710.76
2018-04-24,26714.45,17846.11,6710.76
2018-04-23,26714.45,17846.11,6710.76
2018-04-20,26714.45,17846.11,6710.76
2018-04-19,26187.04,17846.11,6214.16
2018-04-18,26098.94,17788.62,6190.62
2018-04-17,26075.20,17788.62,6168.28
2018-04-16,26075.14,17788.57,6168.28
2018-04-13,25044.04,17788.57,5197.43
2018-04-12,25000.40,17748.81,5197.43
2018-04-11,25000.40,17748.81,5197.43
2018-04-10,25000.40,17748.81,5197.43
2018-04-09,25009.79,17757.36,5197.43
2018-04-06,25009.79,17757.36,5197.43
2018-04-05,24958.05,17710.22,5197.43
2018-04-04,25320.79,18040.72,5197.43
2018-04-03,25320.79,18040.72,5197.43
2018-03-29,25286.79,18009.73,5197.43
2018-03-28,25016.83,18009.73,4943.25
2018-03-27,25016.30,18009.25,4943.25
2018-03-26,25016.30,18009.25,4943.25
2018-03-23,24997.62,17992.24,4943.25
2018-03-22,24995.55,17990.35,4943.25
2018-03-21,24969.61,17966.71,4943.25
2018-03-20,24917.43,17919.17,4943.25
2018-03-19,24879.71,17914.22,4912.84
2018-03-16,24825.04,17864.42,4912.84
2018-03-15,24825.04,17864.42,4912.84
2018-03-14,24825.04,17864.42,4912.84
2018-03-13,24506.58,17807.32,4671.99
2018-03-12,24480.64,17783.69,4671.99
2018-03-09,24480.64,17783.69,4671.99
2018-03-08,24480.34,17783.42,4671.99
2018-03-07,24407.64,17721.99,4667.03
2018-03-06,23402.46,17735.99,3706.12
2018-03-02,23402.46,17735.99,3706.12
2018-03-01,23182.59,17535.66,3706.12
2018-02-28,23182.59,17535.66,3706.12
2018-02-27,23107.47,17467.22,3706.12
2018-02-26,23068.94,17432.11,3706.12
2018-02-23,23062.14,17425.92,3706.12
2018-02-22,22808.13,17194.49,3706.12
2018-02-21,22807.90,17194.27,3706.12
2018-02-20,22802.62,17194.27,3701.15
2018-02-19,22731.98,17129.91,3701.15
